enzid	name
26155	hi015
84069	hi015
57801	hi015
375790	hi015
6339	hi015
219293	hi015
55210	hi015
2782	hi015
5590	hi015
6497	hi015
11079	hi015
9651	hi015
63976	hi015
7161	hi015
57470	hi015
8514	hi015
26038	hi015
6146	hi015
23463	hi015
390992	hi015
387509	hi015
54626	hi015
9903	hi015
23261	hi015
8863	hi015
11315	hi015
54206	hi015
50651	hi015
473	hi015
2023	hi015
80176	hi015
199953	hi015
5293	hi015
22883	hi015
56998	hi015
84328	hi015
10277	hi015
23095	hi015
5226	hi015
1676	hi015
5195	hi015
54897	hi015
23435	hi015
6723	hi015
5394	hi015
10218	hi015
10459	hi015
90231	hi015
1185	hi015
5351	hi015
943	hi015
7133	hi015
55187	hi015
9249	hi015
343069	hi015
10630	hi015
7799	hi015
79180	hi015
11330	hi015
842	hi015
84301	hi015
6248	hi015
23207	hi015
284723	hi015
388595	hi015
54751	hi015
23013	hi015
7709	hi015
1969	hi015
374955	hi015
55707	hi015
4237	hi015
6390	hi015
29943	hi015
51702	hi015
55920	hi015
84966	hi015
127707	hi015
5081	hi015
8659	hi015
23352	hi015
51154	hi015
22977	hi015
832	hi015
4681	hi015
3362	hi015
255104	hi015
5320	hi015
55450	hi015
163933	hi015
1650	hi015
400745	hi015
50809	hi015
8672	hi015
1889	hi015
249	hi015
5909	hi015
401944	hi015
3339	hi015
54361	hi015
9923	hi015
2046	hi015
712	hi015
714	hi015
2048	hi015
3352	hi015
10236	hi015
80818	hi015
6920	hi015
1870	hi015
3399	hi015
6135	hi015
11313	hi015
2582	hi015
55629	hi015
57822	hi015
10250	hi015
25932	hi015
864	hi015
25949	hi015
6007	hi015
23585	hi015
6006	hi015
55219	hi015
26119	hi015
3925	hi015
2134	hi015
149420	hi015
51042	hi015
55057	hi015
3151	hi015
6195	hi015
8289	hi015
55650	hi015
2810	hi015
8431	hi015
10726	hi015
126695	hi015
115572	hi015
6548	hi015
23038	hi015
84958	hi015
388611	hi015
2827	hi015
10163	hi015
2268	hi015
199870	hi015
23673	hi015
5511	hi015
6118	hi015
27293	hi015
2140	hi015
83667	hi015
6883	hi015
10691	hi015
51441	hi015
4985	hi015
2035	hi015
399474	hi015
51102	hi015
10076	hi015
4146	hi015
9672	hi015
9698	hi015
79570	hi015
51538	hi015
2170	hi015
64129	hi015
553115	hi015
576	hi015
10657	hi015
55116	hi015
23633	hi015
200081	hi015
8668	hi015
3932	hi015
3065	hi015
65108	hi015
81629	hi015
55108	hi015
339487	hi015
5928	hi015
8565	hi015
252995	hi015
3208	hi015
113452	hi015
127544	hi015
204	hi015
113451	hi015
55223	hi015
149076	hi015
1912	hi015
7579	hi015
114784	hi015
127534	hi015
58512	hi015
6421	hi015
9202	hi015
79932	hi015
23154	hi015
5690	hi015
63967	hi015
54936	hi015
1296	hi015
27095	hi015
9967	hi015
83931	hi015
2899	hi015
80149	hi015
79753	hi015
29889	hi015
284654	hi015
55143	hi015
149175	hi015
79693	hi015
4520	hi015
10946	hi015
2275	hi015
5453	hi015
64121	hi015
26292	hi015
81025	hi015
23499	hi015
353500	hi015
8761	hi015
10450	hi015
656	hi015
64064	hi015
54802	hi015
4610	hi015
10487	hi015
5538	hi015
6018	hi015
127391	hi015
64744	hi015
127396	hi015
9783	hi015
4802	hi015
163732	hi015
22955	hi015
1907	hi015
59269	hi015
2981	hi015
22887	hi015
10465	hi015
4904	hi015
114625	hi015
6513	hi015
10969	hi015
149465	hi015
128218	hi015
149466	hi015
7075	hi015
4352	hi015
991	hi015
64834	hi015
5792	hi015
6487	hi015
9670	hi015
533	hi015
6536	hi015
55929	hi015
79639	hi015
11004	hi015
6202	hi015
1263	hi015
343521	hi015
8643	hi015
8891	hi015
7389	hi015
57643	hi015
10420	hi015
5052	hi015
10327	hi015
4678	hi015
60313	hi015
23139	hi015
8503	hi015
55624	hi015
8438	hi015
7388	hi015
127343	hi015
8569	hi015
64756	hi015
9813	hi015
1579	hi015
199974	hi015
284541	hi015
10158	hi015
6886	hi015
6491	hi015
51727	hi015
2306	hi015
54558	hi015
84871	hi015
1996	hi015
11124	hi015
1031	hi015
26994	hi015
2060	hi015
114883	hi015
4898	hi015
5865	hi015
51060	hi015
91408	hi015
9372	hi015
23318	hi015
79699	hi015
6342	hi015
127435	hi015
54987	hi015
4116	hi015
7804	hi015
63948	hi015
55706	hi015
1733	hi015
9528	hi015
51253	hi015
55001	hi015
1718	hi015
255738	hi015
23358	hi015
8613	hi015
5563	hi015
1600	hi015
4070	hi015
114803	hi015
3725	hi015
51361	hi015
4774	hi015
83941	hi015
10207	hi015
54596	hi015
163782	hi015
7398	hi015
27329	hi015
27022	hi015
29929	hi015
5236	hi015
4919	hi015
57685	hi015
3716	hi015
9829	hi015
54741	hi015
3953	hi015
5142	hi015
84251	hi015
23169	hi015
3595	hi015
26135	hi015
1647	hi015
55970	hi015
57554	hi015
55631	hi015
81573	hi015
1491	hi015
5733	hi015
9406	hi015
100144878	hi015
431707	hi015
5876	hi015
4438	hi015
127247	hi015
256435	hi015
81849	hi015
26289	hi015
26009	hi015
23032	hi015
374986	hi015
91624	hi015
8880	hi015
11080	hi015
5737	hi015
64123	hi015
23266	hi015
79739	hi015
5567	hi015
58511	hi015
2787	hi015
23566	hi015
84144	hi015
8915	hi015
23576	hi015
3491	hi015
9653	hi015
8543	hi015
5586	hi015
2959	hi015
494115	hi015
2633	hi015
2634	hi015
23507	hi015
84230	hi015
55144	hi015
343472	hi015
84146	hi015
8317	hi015
7049	hi015
23285	hi015
11146	hi015
2672	hi015
7813	hi015
6125	hi015
388650	hi015
22823	hi015
50999	hi015
1810	hi015
54874	hi015
8412	hi015
30836	hi015
2730	hi015
5825	hi015
2152	hi015
1266	hi015
199857	hi015
58155	hi015
1806	hi015
51375	hi015
54873	hi015
391059	hi015
178	hi015
23443	hi015
64645	hi015
127495	hi015
1629	hi015
8556	hi015
54112	hi015
7412	hi015
2135	hi015
148867	hi015
51611	hi015
1901	hi015
118427	hi015
1301	hi015
277	hi015
278	hi015
55170	hi015
10451	hi015
284611	hi015
55119	hi015
163479	hi015
6814	hi015
29899	hi015
22911	hi015
6139	hi015
6884	hi015
57535	hi015
6301	hi015
1952	hi015
6272	hi015
5686	hi015
127002	hi015
284613	hi015
57463	hi015
83873	hi015
2773	hi015
2780	hi015
271	hi015
2946	hi015
2947	hi015
10768	hi015
257	hi015
388662	hi015
3749	hi015
64783	hi015
84432	hi015
3744	hi015
3737	hi015
3738	hi015
963	hi015
1117	hi015
515	hi015
5906	hi015
11218	hi015
3752	hi015
55917	hi015
54879	hi015
829	hi015
4343	hi015
389	hi015
333926	hi015
6566	hi015
260425	hi015
54665	hi015
204851	hi015
10717	hi015
56944	hi015
148281	hi015
51592	hi015
163259	hi015
270	hi015
4893	hi015
7812	hi015
7252	hi015
4808	hi015
476	hi015
3321	hi015
914	hi015
5738	hi015
8458	hi015
80263	hi015
10905	hi015
54855	hi015
54834	hi015
10885	hi015
6913	hi015
90874	hi015
26227	hi015
3158	hi015
4853	hi015
148738	hi015
10628	hi015
128077	hi015
9939	hi015
8799	hi015
8515	hi015
10401	hi015
200035	hi015
10623	hi015
5174	hi015
5565	hi015
607	hi015
2703	hi015
51463	hi015
126961	hi015
8349	hi015
554313	hi015
8338	hi015
317772	hi015
9900	hi015
10262	hi015
81611	hi015
23632	hi015
9129	hi015
80222	hi015
4170	hi015
55204	hi015
84072	hi015
1520	hi015
1513	hi015
405	hi015
56882	hi015
79626	hi015
29765	hi015
6944	hi015
5710	hi015
57592	hi015
5298	hi015
8991	hi015
5692	hi015
23126	hi015
7286	hi015
65005	hi015
51686	hi015
6097	hi015
6281	hi015
388697	hi015
49860	hi015
54544	hi015
448834	hi015
353131	hi015
3713	hi015
4014	hi015
6280	hi015
6279	hi015
6275	hi015
6271	hi015
23557	hi015
3608	hi015
4881	hi015
65123	hi015
57459	hi015
9909	hi015
200186	hi015
27173	hi015
6232	hi015
7170	hi015
57198	hi015
55585	hi015
1141	hi015
3782	hi015
6464	hi015
1163	hi015
51043	hi015
127579	hi015
1945	hi015
1944	hi015
200185	hi015
80128	hi015
7059	hi015
4580	hi015
10067	hi015
1196	hi015
5313	hi015
2224	hi015
55870	hi015
7818	hi015
23208	hi015
22889	hi015
9181	hi015
6746	hi015
56893	hi015
57111	hi015
4000	hi015
64218	hi015
9673	hi015
23381	hi015
84283	hi015
7203	hi015
4209	hi015
128239	hi015
128240	hi015
60484	hi015
63827	hi015
1382	hi015
79590	hi015
3068	hi015
5546	hi015
9047	hi015
4914	hi015
3645	hi015
9826	hi015
79368	hi015
55243	hi015
6708	hi015
57863	hi015
127385	hi015
54935	hi015
8407	hi015
57549	hi015
3766	hi015
3765	hi015
93185	hi015
477	hi015
844	hi015
8682	hi015
5824	hi015
23385	hi015
4807	hi015
57216	hi015
7391	hi015
5202	hi015
4817	hi015
9191	hi015
51506	hi015
27005	hi015
5498	hi015
8703	hi015
4720	hi015
336	hi015
84134	hi015
9970	hi015
4359	hi015
6391	hi015
3310	hi015
127943	hi015
22926	hi015
25903	hi015
9722	hi015
284680	hi015
127933	hi015
6675	hi015
4921	hi015
83540	hi015
5087	hi015
4009	hi015
6258	hi015
54499	hi015
7371	hi015
149297	hi015
5451	hi015
